"No.","Time","Source","Destination","Protocol","Length","Info"
"140","66.582733","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=1464 Ack=945 Win=64359 Len=0"
"141","66.731140","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"142","66.731476","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2341 Ack=4936 Win=59863 Len=0"
"143","66.851501","119.235.235.91","10.16.80.234","HTTP","84","HTTP/1.1 200 OK "
"144","66.851745","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=1464 Ack=973 Win=64331 Len=0"
"145","67.001434","119.235.235.91","10.16.80.234","HTTP","224","HTTP/1.1 200 OK "
"146","67.001617","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2341 Ack=5104 Win=59695 Len=0"
"147","67.016205","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"148","67.261139","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=5104 Ack=2497 Win=10720 Len=0"
"149","75.510864","10.16.80.234","119.235.235.91","HTTP","226","POST /C2 HTTP/1.1 "
"150","77.757233","119.235.235.91","10.16.80.234","TCP","153","[TCP segment of a reassembled PDU]"
"151","77.757660","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=1634 Ack=1070 Win=64234 Len=0"
"152","77.777405","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"153","77.820953","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2497 Ack=5205 Win=59594 Len=0"
"154","77.977234","119.235.235.91","10.16.80.234","HTTP","77","HTTP/1.1 200 OK "
"155","77.977630","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=1634 Ack=1091 Win=64213 Len=0"
"156","78.107269","119.235.235.91","10.16.80.234","HTTP","331","HTTP/1.1 200 OK "
"157","78.108032","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2497 Ack=5480 Win=59319 Len=0"
"158","78.144775","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"159","78.347015","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=5480 Ack=2653 Win=10720 Len=0"
"160","78.367279","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"161","78.367370","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2653 Ack=5581 Win=59218 Len=0"
"162","78.666931","119.235.235.91","10.16.80.234","HTTP","224","HTTP/1.1 200 OK "
"163","78.667328","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2653 Ack=5749 Win=59050 Len=0"
"164","78.776428","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"165","79.026855","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=5749 Ack=2809 Win=10720 Len=0"
"166","87.906586","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"167","87.906708","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2809 Ack=5850 Win=58949 Len=0"
"168","87.926300","119.235.235.91","10.16.80.234","TCP","157","[TCP Retransmission] http > 51187 [PSH, ACK] Seq=5749 Ack=2809 Win=10720 Len=101"
"169","87.926514","10.16.80.234","119.235.235.91","TCP","56","[TCP Dup ACK 167#1] 51187 > http [ACK] Seq=2809 Ack=5850 Win=58949 Len=0"
"170","88.156555","119.235.235.91","10.16.80.234","HTTP","334","HTTP/1.1 200 OK "
"171","88.156921","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2809 Ack=6128 Win=58671 Len=0"
"172","88.263580","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"173","88.372742","10.16.80.234","119.235.235.91","HTTP","259","POST /S3 HTTP/1.1 "
"174","88.506927","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=6128 Ack=2965 Win=10720 Len=0"
"175","88.506958","119.235.235.91","10.16.80.234","TCP","123","[TCP segment of a reassembled PDU]"
"176","88.507324","10.16.80.234","119.235.235.91","TCP","56","51187 > http [ACK] Seq=2965 Ack=6195 Win=58604 Len=0"
"177","88.511932","10.16.80.234","119.235.235.91","TCP","56","51187 > http [FIN, ACK] Seq=2965 Ack=6195 Win=58604 Len=0"
"178","88.519501","10.16.80.234","119.235.235.91","TCP","76","33799 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=321912 TSecr=0 WS=8"
"179","89.046600","119.235.235.91","10.16.80.234","TCP","123","[TCP Retransmission] http > 51187 [PSH, ACK] Seq=6128 Ack=2965 Win=10720 Len=67"
"180","89.046814","10.16.80.234","119.235.235.91","TCP","56","[TCP Dup ACK 177#1] 51187 > http [ACK] Seq=2966 Ack=6195 Win=58604 Len=0"
"181","89.420990","10.16.80.234","119.235.235.91","TCP","56","51187 > http [FIN, ACK] Seq=2965 Ack=6195 Win=58604 Len=0"
"182","91.260895","10.16.80.234","119.235.235.91","TCP","56","51187 > http [FIN, ACK] Seq=2965 Ack=6195 Win=58604 Len=0"
"183","91.520874","10.16.80.234","119.235.235.91","TCP","76","33799 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=322213 TSecr=0 WS=8"
"184","91.534332","10.16.80.234","119.235.235.91","TCP","76","55063 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=322214 TSecr=0 WS=8"
"185","92.437225","119.235.235.91","10.16.80.234","HTTP","67","HTTP/1.1 502 Bad Gateway "
"186","92.437469","10.16.80.234","119.235.235.91","TCP","56","51187 > http [RST] Seq=2965 Win=0 Len=0"
"187","92.446350","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [ACK] Seq=6206 Ack=2966 Win=10720 Len=0"
"188","92.446411","10.16.80.234","119.235.235.91","TCP","56","51187 > http [RST] Seq=2966 Win=0 Len=0"
"189","92.466766","119.235.235.91","10.16.80.234","TCP","56","http > 51187 [FIN, ACK] Seq=6206 Ack=2966 Win=10720 Len=0"
"190","92.466949","10.16.80.234","119.235.235.91","TCP","56","51187 > http [RST] Seq=2966 Win=0 Len=0"
"191","92.466797","119.235.235.91","10.16.80.234","TCP","60","http > 33799 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"192","92.467071","10.16.80.234","119.235.235.91","TCP","56","33799 > http [RST] Seq=1 Win=0 Len=0"
"193","92.496338","119.235.235.91","10.16.80.234","TCP","153","[TCP segment of a reassembled PDU]"
"194","92.496460","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=1837 Ack=1188 Win=64116 Len=0"
"195","92.796692","119.235.235.91","10.16.80.234","TCP","153","[TCP Retransmission] http > 46207 [PSH, ACK] Seq=1091 Ack=1837 Win=10720 Len=97"
"196","92.796722","119.235.235.91","10.16.80.234","TCP","67","[TCP Retransmission] [TCP segment of a reassembled PDU]"
"197","92.796905","10.16.80.234","119.235.235.91","TCP","56","51187 > http [RST] Seq=2966 Win=0 Len=0"
"198","92.796722","119.235.235.91","10.16.80.234","TCP","153","[TCP Retransmission] http > 46207 [PSH, ACK] Seq=1091 Ack=1837 Win=10720 Len=97"
"199","92.796722","119.235.235.91","10.16.80.234","TCP","56","[TCP Dup ACK 196#1] http > 51187 [ACK] Seq=6207 Ack=2966 Win=10720 Len=0"
"200","92.796936","10.16.80.234","119.235.235.91","TCP","56","51187 > http [RST] Seq=2966 Win=0 Len=0"
"201","92.796753","119.235.235.91","10.16.80.234","TCP","60","http > 33799 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"202","92.796997","10.16.80.234","119.235.235.91","TCP","56","33799 > http [RST] Seq=1 Win=0 Len=0"
"203","92.796753","119.235.235.91","10.16.80.234","TCP","60","http > 55063 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"204","92.797088","10.16.80.234","119.235.235.91","TCP","56","55063 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"205","92.796753","119.235.235.91","10.16.80.234","HTTP","84","HTTP/1.1 200 OK "
"206","92.797394","10.16.80.234","119.235.235.91","TCP","56","[TCP Dup ACK 194#1] 46207 > http [ACK] Seq=1837 Ack=1188 Win=64116 Len=0"
"207","92.797424","10.16.80.234","119.235.235.91","TCP","56","[TCP Dup ACK 194#2] 46207 > http [ACK] Seq=1837 Ack=1188 Win=64116 Len=0"
"208","92.797455","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=1837 Ack=1216 Win=64088 Len=0"
"209","92.803039","10.16.80.234","119.235.235.91","HTTP","377","POST /P3 HTTP/1.1 "
"210","93.096191","119.235.235.91","10.16.80.234","TCP","56","http > 55063 [ACK] Seq=1 Ack=322 Win=6432 Len=0"
"211","93.206329","119.235.235.91","10.16.80.234","TCP","157","[TCP segment of a reassembled PDU]"
"212","93.206695","10.16.80.234","119.235.235.91","TCP","56","55063 > http [ACK] Seq=322 Ack=102 Win=65434 Len=0"
"213","93.496368","119.235.235.91","10.16.80.234","HTTP","224","HTTP/1.1 200 OK "
"214","93.496551","10.16.80.234","119.235.235.91","TCP","56","55063 > http [ACK] Seq=322 Ack=270 Win=65266 Len=0"
"215","93.549042","10.16.80.234","119.235.235.91","HTTP","212","POST /P3 HTTP/1.1 "
"216","93.766571","119.235.235.91","10.16.80.234","TCP","56","http > 55063 [ACK] Seq=270 Ack=478 Win=7504 Len=0"
"217","107.408447","10.16.80.234","119.235.235.91","HTTP","245","POST /C2 HTTP/1.1 "
"218","112.107178","119.235.235.91","10.16.80.234","TCP","56","http > 46207 [ACK] Seq=1216 Ack=2026 Win=10720 Len=0"
"219","115.067413","119.235.235.91","10.16.80.234","TCP","138","[TCP segment of a reassembled PDU]"
"220","115.067749","10.16.80.234","119.235.235.91","TCP","56","46207 > http [ACK] Seq=2026 Ack=1298 Win=64006 Len=0"
"221","115.071075","10.16.80.234","119.235.235.91","TCP","56","46207 > http [FIN, ACK] Seq=2026 Ack=1298 Win=64006 Len=0"
"222","115.081970","10.16.80.234","119.235.235.91","TCP","76","39899 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=324569 TSecr=0 WS=8"
"223","115.267547","119.235.235.91","10.16.80.234","HTTP","71","HTTP/1.1 502 Bad Gateway "
"224","115.267822","10.16.80.234","119.235.235.91","TCP","56","46207 > http [RST] Seq=2026 Win=0 Len=0"
"225","115.277161","119.235.235.91","10.16.80.234","TCP","56","http > 46207 [FIN, ACK] Seq=1313 Ack=2027 Win=10720 Len=0"
"226","115.277283","10.16.80.234","119.235.235.91","TCP","56","46207 > http [RST] Seq=2027 Win=0 Len=0"
"227","115.287659","119.235.235.91","10.16.80.234","TCP","60","http > 39899 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"228","115.287842","10.16.80.234","119.235.235.91","TCP","56","39899 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"229","115.311066","10.16.80.234","119.235.235.91","HTTP","410","POST /C2 HTTP/1.1 "
"230","115.596985","119.235.235.91","10.16.80.234","TCP","56","http > 39899 [ACK] Seq=1 Ack=355 Win=6432 Len=0"
"231","115.617065","119.235.235.91","10.16.80.234","TCP","153","[TCP segment of a reassembled PDU]"
"232","115.617187","10.16.80.234","119.235.235.91","TCP","56","39899 > http [ACK] Seq=355 Ack=98 Win=65438 Len=0"
"233","115.877075","119.235.235.91","10.16.80.234","HTTP","77","HTTP/1.1 200 OK "
"234","115.877411","10.16.80.234","119.235.235.91","TCP","56","39899 > http [ACK] Seq=355 Ack=119 Win=65417 Len=0"
"235","118.627136","119.235.235.91","10.16.80.234","TCP","138","[TCP segment of a reassembled PDU]"
